Plot ID	Sp Code	TreeGirth1	TreeGirth2	TreeGirth3	TreeGirth4	TreeGirth5
BSP1	NA	25	0	0	0	0
BSP1	NA	32	19	0	0	0
BSP1	NA	33	0	0	0	0
BSP1	NA	35	0	0	0	0
BSP1	NA	38	0	0	0	0
BSP1	NA	42	0	0	0	0
BSP100	NA	12	0	0	0	0
BSP101	NA	40	0	0	0	0
BSP14	NA	11	11	0	0	0
BSP22	NA	63	52	0	0	0
BSP25	NA	13	0	0	0	0
BSP25	NA	16	12	0	0	0
BSP25	NA	20	0	0	0	0
BSP25	NA	22	0	0	0	0
BSP25	NA	26	0	0	0	0
BSP25	NA	32	0	0	0	0
BSP25	NA	47	0	0	0	0
BSP25	NA	48	0	0	0	0
BSP25	NA	51	50	0	0	0
BSP25	NA	55	0	0	0	0
BSP25	NA	72	0	0	0	0
BSP27	NA	12	0	0	0	0
BSP3	NA	18	0	0	0	0
BSP3	NA	20	0	0	0	0
BSP3	NA	47	0	0	0	0
BSP4	NA	30	0	0	0	0
BSP45	NA	33	0	0	0	0
BSP54	NA	28	0	0	0	0
BSP56	NA	13	0	0	0	0
BSP56	NA	15	0	0	0	0
BSP56	NA	18	0	0	0	0
BSP57	NA	27	0	0	0	0
BSP58	NA	12	0	0	0	0
BSP58	NA	25	0	0	0	0
BSP58	NA	40	0	0	0	0
BSP62	NA	33	32	0	0	0
BSP62	NA	35	27	0	0	0
BSP63	NA	13	0	0	0	0
BSP63	NA	21	0	0	0	0
BSP63	NA	24	0	0	0	0
BSP63	NA	56	0	0	0	0
BSP70	NA	22	0	0	0	0
BSP8	NA	42	0	0	0	0
BSP86	NA	46	41	0	0	0
BSP96	NA	52	0	0	0	0
BSP97	NA	22	0	0	0	0
BSP97	NA	65	0	0	0	0
BSP101	Acrofrax	210	0	0	0	0
BSP101	NA	250	0	0	0	0
BSP59	NA	36	35	0	0	0
BSP73	NA	202	0	0	0	0
BSP10	Actiangu	10	0	0	0	0
BSP10	NA	10	0	0	0	0
BSP10	NA	11	10	0	0	0
BSP10	NA	11	0	0	0	0
BSP10	NA	11	0	0	0	0
BSP10	NA	11	0	0	0	0
BSP10	NA	12	0	0	0	0
BSP10	NA	12	0	0	0	0
BSP10	NA	13	0	0	0	0
BSP10	NA	13	0	0	0	0
BSP10	NA	15	0	0	0	0
BSP10	NA	18	0	0	0	0
BSP10	NA	21	0	0	0	0
BSP10	NA	32	0	0	0	0
BSP10	NA	123	0	0	0	0
BSP10	NA	126	0	0	0	0
BSP101	NA	25	0	0	0	0
BSP104	NA	20	0	0	0	0
BSP12	NA	16	0	0	0	0
BSP12	NA	17	0	0	0	0
BSP12	NA	18	0	0	0	0
BSP12	NA	25	0	0	0	0
BSP12	NA	100	0	0	0	0
BSP29	NA	39	0	0	0	0
BSP30	NA	24	0	0	0	0
BSP30	NA	47	0	0	0	0
BSP30	NA	60	0	0	0	0
BSP30	NA	68	0	0	0	0
BSP30	NA	70	0	0	0	0
BSP30	NA	72	0	0	0	0
BSP30	NA	74	0	0	0	0
BSP30	NA	80	0	0	0	0
BSP31	NA	10	0	0	0	0
BSP31	NA	11	0	0	0	0
BSP31	NA	11	0	0	0	0
