RecordID,RodentSurveyID,RodentSpeciesID,Weight,Recapture
1,22,112,NA,1
2,22,119,NA,1
3,22,115,30.6,0
4,22,115,32.2,0
5,22,115,40,0
6,22,112,14.2,0
7,22,NA,NA,1
8,22,115,43.8,0
9,22,115,45.5,0
10,22,115,41.8,0
11,22,119,11,0
12,22,112,NA,1
13,22,119,5.5,0
14,22,119,NA,1
15,22,115,NA,1
16,22,115,37.2,0
17,22,112,NA,1
18,22,119,9.5,0
19,22,115,NA,1
20,22,112,NA,1
21,22,115,39,0
22,17,112,23.2,0
23,17,117,134,0
24,17,112,27.4,0
25,17,120,11,0
26,17,117,116.2,0
27,17,112,9.4,0
28,17,117,64,0
29,17,111,22.1,0
30,17,112,21.6,0
31,17,117,117.6,0
32,17,117,65,0
33,17,117,125.8,0
34,17,117,111,0
35,17,117,114.6,0
36,17,112,33.5,0
37,17,117,94.5,0
38,17,111,10.6,0
39,17,117,117,0
40,17,117,141.8,0
41,17,117,151.2,0
42,17,117,119.8,0
43,17,117,85,0
44,17,117,167.5,0
45,17,112,10.6,0
46,17,117,86.2,0
47,17,112,8.4,0
48,17,112,22.6,0
49,17,111,10.9,0
50,17,117,111,0
51,17,111,12.2,0
52,17,117,144.2,0
53,17,120,14.5,0
54,17,112,19.4,0
55,18,111,27.4,0
56,18,117,205,0
57,18,112,21.6,0
58,18,112,27.4,0
59,18,117,107,0
60,18,112,26.4,0
61,18,112,18.6,0
62,18,112,23,0
63,18,112,26.2,0
64,18,120,25.2,0
65,18,112,27.2,0
66,18,112,22.2,0
67,18,117,116,0
68,18,112,28.5,0
69,18,112,21.5,0
70,18,111,22.4,0
71,18,117,126.2,0
72,18,112,23.6,0
73,18,112,20.8,0
74,18,112,28.3,0
75,18,117,117,0
76,18,112,19.4,0
77,18,111,24.4,0
78,18,110,31.8,0
79,18,117,163,0
80,18,117,73.8,0
81,18,112,21.6,0
82,18,112,18.8,0
83,18,112,22.2,0
84,18,110,30.6,0
85,17,111,10.2,0
86,17,112,22.5,0
87,17,112,11.6,0
88,17,111,11.3,0
89,17,112,11.2,0
90,17,117,175.5,0
91,17,112,11,0
92,17,117,74.4,0
93,17,117,NA,1
94,17,117,NA,1
95,17,NA,NA,1
96,17,117,NA,1
97,17,120,19.2,0
98,17,120,21,0
99,17,112,11.5,0
100,17,117,120.8,0
101,17,110,19.3,0
102,17,111,NA,1
103,17,112,11.8,0
104,17,112,9.3,0
105,17,110,24.9,0
106,17,117,NA,1
107,17,117,NA,1
108,17,117,NA,1
109,17,120,15.4,0
110,17,117,64,0
111,17,112,NA,1
112,17,117,65.2,0
113,17,117,NA,1
114,17,117,NA,1
115,17,110,37.8,0
116,17,110,20.9,0
117,17,112,11,0
118,17,110,17.2,0
119,17,117,106,0
120,17,117,NA,1
121,17,117,114.4,0
122,18,112,27.8,0
123,18,120,23,0
124,18,110,13.8,0
125,18,120,17.9,0
126,18,110,29.5,0
127,18,110,23.6,0
128,18,110,NA,1
129,18,117,NA,1
130,18,120,21,0
131,18,117,113,0
132,18,112,15.5,0
133,18,110,28.5,0
134,18,120,15.3,0
135,18,120,20.2,0
136,18,112,NA,1
137,18,112,17.6,0
138,18,112,NA,1
139,18,112,23,0
140,18,112,23.8,0
141,18,117,145,0
142,18,120,15.2,0
143,18,120,21.2,0
144,19,112,12.7,0
145,19,112,19,0
146,19,120,25.5,0
147,19,115,35,0
148,19,112,13.4,0
149,19,112,16.3,0
150,19,112,15,0
151,19,112,17.7,0
152,19,112,21.9,0
153,19,112,19.3,0
154,19,112,18.4,0
155,19,112,12.6,0
156,19,115,38.2,0
157,19,112,15.8,0
158,19,112,15.8,0
159,19,112,12,0
160,19,115,42.6,0
161,19,117,113,0
162,19,115,46.2,0
163,19,112,10,0
164,19,112,14,0
165,19,112,16.2,0
166,19,112,11.8,0
167,19,112,16.6,0
168,19,115,42,0
169,19,112,19.8,0
170,19,112,17.5,0
171,19,112,18.5,0
172,20,112,17.6,0
173,20,112,14,0
174,20,112,19.4,0
175,20,112,15.1,0
176,20,112,20,0
177,20,112,13.8,0
178,20,112,14,0
179,20,112,13.6,0
180,20,112,15.6,0
181,20,112,13.9,0
182,20,112,19.2,0
183,20,112,12.7,0
184,20,112,22,0
185,20,112,12.8,0
186,20,112,22.5,0
187,20,112,15.8,0
188,20,112,17.2,0
189,19,112,14.1,0
190,19,112,9,0
191,19,117,110,0
192,19,112,NA,1
193,19,112,20.7,0
194,19,115,28.7,0
195,19,112,NA,1
196,19,NA,NA,1
197,19,115,38.7,0
198,19,112,NA,1
199,19,112,12.1,0
200,19,112,NA,1
201,19,112,NA,1
202,19,112,14.2,0
203,19,115,20.2,0
204,19,115,NA,1
205,19,112,13,0
206,19,112,NA,1
207,19,112,13.1,0
208,19,117,NA,1
209,19,115,22.8,0
210,19,112,21.9,0
211,19,112,18.1,0
212,19,112,17.8,0
213,19,112,26.2,0
214,19,115,35.2,0
215,19,112,14.5,0
216,19,112,14.8,0
217,19,112,NA,1
