,#NAME?,,,,,,,,,,,,,,,,,,,,,,,
,Dataset: Sustainable Ocean Economy,,,,,,,,,,,,,,,,,,,,,,,
,Variable,"Total marine protected area, sqkm",,,,,,,,,,,,,,,,,,,,,,
,Unit,Square kilometres,,,,,,,,,,,,,,,,,,,,,,
OECD_member,Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
OECD,Australia,376896.5,377198.5,399905.8,399923,402051.8,406363.8,412437.8,417115.8,417560.3,442165.3,442910.5,448550,829988.8,830412,830600.8,830606,847506.8,855714.8,3030763,3036163,3036163,3036163,3036163
OECD,Belgium,55.25,55.25,55.25,58.25,58.25,350.25,350.25,350.25,350.25,350.25,350.25,350.25,1248.25,1248.25,1249.75,1249.75,1249.75,1249.75,1249.75,1249.75,1312.5,1312.5,1312.5
OECD,Canada,24661.75,24718.75,24918.5,28145,30039.5,32196.5,32534,32740.75,41618.75,42122,50992,51081.5,51087.75,52431,52434.5,53968.75,56240.5,168553,179983.5,508196.3,520922,520923,520923
OECD,Chile,8849.75,8849.75,8849.75,8868.75,10068.5,10177,10218.5,10219.75,10219.75,10219.75,160674.3,160674.3,160674.3,160674.5,160675.3,160896.3,461388.8,486509.3,1340514,1509188,1509192,1509216,1510300
OECD,Colombia,29421.75,29421.75,29421.75,29421.75,29421.75,60890.5,60906.5,60906.5,60910.5,60959.75,61416.5,61425.5,61426.5,63135.5,63829,63829,63832.75,94753.5,95429.75,95429.75,95429.75,95429.75,95429.75
OECD,Costa Rica,58358.75,58371,58371,58371,58371,58371,58570.75,58570.75,58570.75,58570.75,58570.75,58570.75,58570.75,58570.75,58570.75,58570.75,58570.75,58570.75,58577.25,58577.25,59238.75,59238.75,166920.3
OECD,Denmark,7678,7678,7678.25,9451.25,11913.75,12282.5,12283.75,13020.5,13020.5,18667,18667,18676.25,18676.25,18676.25,18677.25,18677.25,19088.25,19088.25,19088.25,19088.25,19088.25,19088.25,19088.25
OECD,Estonia,580.5,580.5,580.5,580.5,6473.25,6529.5,6530,6544,6544,6575,6725.5,6725.5,6725.5,6725.5,6725.5,6725.5,6725.5,6725.5,6730.75,6782,6782,6782,6782
